system_name,github_url,stars,forks,issues_open,last_commit_date,created_date,primary_language,stars_velocity_30d_estimate
"obra/superpowers","https://github.com/obra/superpowers",179810,15990,273,2026-05-06,2025-10-09,Shell,25810
"modelcontextprotocol/servers","https://github.com/modelcontextprotocol/servers",85120,10608,417,2026-04-17,2024-11-19,TypeScript,4791
"thedotmack/claude-mem","https://github.com/thedotmack/claude-mem",72661,6237,77,2026-05-06,2025-09-09,TypeScript,9121
"FoundationAgents/MetaGPT","https://github.com/geekan/MetaGPT",67719,8613,122,2026-01-21,2023-06-30,Python,1952
"microsoft/autogen","https://github.com/microsoft/autogen",57739,8717,807,2026-04-15,2023-08-18,Python,1746
"mem0ai/mem0","https://github.com/mem0ai/mem0",54867,6214,300,2026-05-06,2023-06-20,Python,1566
"MemPalace/mempalace","https://github.com/MemPalace/mempalace",51262,6747,520,2026-05-06,2026-04-05,Python,49608
"crewAIInc/crewAI","https://github.com/crewAIInc/crewAI",50724,6999,291,2026-05-06,2023-10-27,Python,1650
"run-llama/llama_index","https://github.com/run-llama/llama_index",49158,7363,322,2026-05-04,2022-11-02,Python,1151
"milvus-io/milvus","https://github.com/milvus-io/milvus",44127,3988,1026,2026-05-06,2019-09-16,Go,546
"agno-agi/agno","https://github.com/agno-agi/agno",39931,5337,845,2026-05-06,2022-05-04,Python,131
"HKUDS/LightRAG","https://github.com/HKUDS/LightRAG",34795,4927,230,2026-05-06,2024-10-02,Python,196
"microsoft/graphrag","https://github.com/microsoft/graphrag",32789,3476,107,2026-04-30,2024-03-27,Python,189
"qdrant/qdrant","https://github.com/qdrant/qdrant",31055,2238,538,2026-05-06,2020-05-30,Rust,156
"microsoft/semantic-kernel","https://github.com/microsoft/semantic-kernel",27843,4584,282,2026-05-05,2023-02-27,C#,143
"chroma-core/chroma","https://github.com/chroma-core/chroma",27825,2231,609,2026-05-06,2022-10-05,Rust,125
"huggingface/smolagents","https://github.com/huggingface/smolagents",27104,2550,531,2026-04-24,2024-12-05,Python,104
"getzep/graphiti","https://github.com/getzep/graphiti",25737,2560,393,2026-04-30,2024-08-08,Python,137
"zai-org/Open-AutoGLM","https://github.com/zai-org/Open-AutoGLM",25196,3941,250,2026-03-06,2025-12-08,Python,196
"letta-ai/letta","https://github.com/letta-ai/letta",22451,2386,73,2026-04-12,2023-10-11,Python,151
"supermemoryai/supermemory","https://github.com/supermemoryai/supermemory",22413,2050,11,2026-05-06,2024-02-27,TypeScript,113
"joonspk-research/generative_agents","https://github.com/joonspk-research/generative_agents",21250,2988,145,2024-08-05,2023-07-23,,0
"pgvector/pgvector","https://github.com/pgvector/pgvector",21124,1161,12,2026-04-27,2021-04-20,C,123
"topoteretes/cognee","https://github.com/topoteretes/cognee",17052,1780,67,2026-05-06,2023-08-16,Python,152
"stackblitz/bolt.new","https://github.com/stackblitz/bolt.new",16356,14608,8195,2024-12-17,2024-09-24,TypeScript,0
"weaviate/weaviate","https://github.com/weaviate/weaviate",16134,1271,576,2026-05-06,2016-03-30,Go,134
"memvid/memvid","https://github.com/memvid/memvid",15349,1319,21,2026-03-16,2025-05-27,Rust,149
"MemoriLabs/Memori","https://github.com/MemoriLabs/Memori",14075,1904,7,2026-05-05,2025-07-24,Python,175
"BasedHardware/omi","https://github.com/BasedHardware/omi",12404,1933,552,2026-05-06,2024-03-22,Dart,104
"vectorize-io/hindsight","https://github.com/vectorize-io/hindsight",12321,706,96,2026-05-06,2025-10-30,Python,121
