category,year_month,paper_count
factual_long_term,2023-01,0
factual_long_term,2023-02,1
factual_long_term,2023-03,0
factual_long_term,2023-04,0
factual_long_term,2023-05,2
factual_long_term,2023-06,1
factual_long_term,2023-07,0
factual_long_term,2023-08,0
factual_long_term,2023-09,1
factual_long_term,2023-10,0
factual_long_term,2023-11,1
factual_long_term,2023-12,0
factual_long_term,2024-01,0
factual_long_term,2024-02,1
factual_long_term,2024-03,0
factual_long_term,2024-04,0
factual_long_term,2024-05,1
factual_long_term,2024-06,0
factual_long_term,2024-07,0
factual_long_term,2024-08,0
factual_long_term,2024-09,0
factual_long_term,2024-10,0
factual_long_term,2024-11,0
factual_long_term,2024-12,0
factual_long_term,2025-01,3
factual_long_term,2025-02,2
factual_long_term,2025-03,0
factual_long_term,2025-04,1
factual_long_term,2025-05,1
factual_long_term,2025-06,2
factual_long_term,2025-07,2
factual_long_term,2025-08,1
factual_long_term,2025-09,1
factual_long_term,2025-10,5
factual_long_term,2025-11,4
factual_long_term,2025-12,5
factual_long_term,2026-01,19
factual_long_term,2026-02,15
factual_long_term,2026-03,13
factual_long_term,2026-04,17
factual_long_term,2026-05,3
experiential,2023-01,0
experiential,2023-02,0
experiential,2023-03,0
experiential,2023-04,0
experiential,2023-05,0
experiential,2023-06,0
experiential,2023-07,0
experiential,2023-08,0
experiential,2023-09,1
experiential,2023-10,0
experiential,2023-11,0
experiential,2023-12,0
experiential,2024-01,0
experiential,2024-02,0
experiential,2024-03,0
experiential,2024-04,0
experiential,2024-05,0
experiential,2024-06,0
experiential,2024-07,0
experiential,2024-08,0
experiential,2024-09,0
experiential,2024-10,0
experiential,2024-11,1
experiential,2024-12,0
experiential,2025-01,0
experiential,2025-02,0
experiential,2025-03,0
experiential,2025-04,1
experiential,2025-05,1
experiential,2025-06,0
experiential,2025-07,0
experiential,2025-08,0
experiential,2025-09,0
experiential,2025-10,0
experiential,2025-11,1
experiential,2025-12,1
experiential,2026-01,0
experiential,2026-02,0
experiential,2026-03,1
experiential,2026-04,2
experiential,2026-05,0
working_memory,2023-01,0
working_memory,2023-02,0
working_memory,2023-03,0
working_memory,2023-04,0
working_memory,2023-05,0
working_memory,2023-06,0
working_memory,2023-07,0
working_memory,2023-08,0
working_memory,2023-09,2
working_memory,2023-10,1
working_memory,2023-11,3
working_memory,2023-12,1
working_memory,2024-01,3
working_memory,2024-02,1
working_memory,2024-03,0
working_memory,2024-04,0
working_memory,2024-05,3
working_memory,2024-06,3
working_memory,2024-07,1
working_memory,2024-08,4
working_memory,2024-09,0
working_memory,2024-10,1
working_memory,2024-11,0
working_memory,2024-12,1
working_memory,2025-01,1
working_memory,2025-02,2
working_memory,2025-03,2
working_memory,2025-04,0
working_memory,2025-05,4
working_memory,2025-06,3
working_memory,2025-07,1
working_memory,2025-08,1
working_memory,2025-09,1
working_memory,2025-10,4
working_memory,2025-11,2
working_memory,2025-12,0
working_memory,2026-01,5
working_memory,2026-02,5
working_memory,2026-03,5
working_memory,2026-04,4
working_memory,2026-05,1
parametric_latent,2023-01,1
parametric_latent,2023-02,0
parametric_latent,2023-03,0
parametric_latent,2023-04,0
parametric_latent,2023-05,1
parametric_latent,2023-06,1
parametric_latent,2023-07,2
parametric_latent,2023-08,2
parametric_latent,2023-09,1
parametric_latent,2023-10,3
parametric_latent,2023-11,2
parametric_latent,2023-12,3
parametric_latent,2024-01,5
parametric_latent,2024-02,11
parametric_latent,2024-03,4
parametric_latent,2024-04,2
parametric_latent,2024-05,6
parametric_latent,2024-06,12
parametric_latent,2024-07,3
parametric_latent,2024-08,2
parametric_latent,2024-09,7
parametric_latent,2024-10,13
parametric_latent,2024-11,2
parametric_latent,2024-12,6
parametric_latent,2025-01,0
parametric_latent,2025-02,8
parametric_latent,2025-03,6
parametric_latent,2025-04,3
parametric_latent,2025-05,12
parametric_latent,2025-06,8
parametric_latent,2025-07,5
parametric_latent,2025-08,6
parametric_latent,2025-09,5
parametric_latent,2025-10,7
parametric_latent,2025-11,4
parametric_latent,2025-12,2
parametric_latent,2026-01,4
parametric_latent,2026-02,6
parametric_latent,2026-03,5
parametric_latent,2026-04,3
parametric_latent,2026-05,1
world_model,2023-01,2
world_model,2023-02,0
world_model,2023-03,1
world_model,2023-04,1
world_model,2023-05,1
world_model,2023-06,0
world_model,2023-07,1
world_model,2023-08,0
world_model,2023-09,2
world_model,2023-10,0
world_model,2023-11,4
world_model,2023-12,1
world_model,2024-01,0
world_model,2024-02,3
world_model,2024-03,3
world_model,2024-04,2
world_model,2024-05,2
world_model,2024-06,4
world_model,2024-07,3
world_model,2024-08,3
world_model,2024-09,5
world_model,2024-10,7
world_model,2024-11,4
world_model,2024-12,0
world_model,2025-01,2
world_model,2025-02,3
world_model,2025-03,2
world_model,2025-04,6
world_model,2025-05,8
world_model,2025-06,8
world_model,2025-07,2
world_model,2025-08,4
world_model,2025-09,9
world_model,2025-10,8
world_model,2025-11,5
world_model,2025-12,8
world_model,2026-01,12
world_model,2026-02,25
world_model,2026-03,13
world_model,2026-04,10
world_model,2026-05,2
continual_learning,2023-01,1
continual_learning,2023-02,0
continual_learning,2023-03,1
continual_learning,2023-04,0
continual_learning,2023-05,1
continual_learning,2023-06,0
continual_learning,2023-07,0
continual_learning,2023-08,1
continual_learning,2023-09,2
continual_learning,2023-10,3
continual_learning,2023-11,0
continual_learning,2023-12,0
continual_learning,2024-01,1
continual_learning,2024-02,3
continual_learning,2024-03,7
continual_learning,2024-04,4
continual_learning,2024-05,3
continual_learning,2024-06,4
continual_learning,2024-07,2
continual_learning,2024-08,3
continual_learning,2024-09,2
continual_learning,2024-10,2
continual_learning,2024-11,2
continual_learning,2024-12,3
continual_learning,2025-01,2
continual_learning,2025-02,5
continual_learning,2025-03,4
continual_learning,2025-04,2
continual_learning,2025-05,9
continual_learning,2025-06,4
continual_learning,2025-07,1
continual_learning,2025-08,4
continual_learning,2025-09,5
continual_learning,2025-10,5
continual_learning,2025-11,3
continual_learning,2025-12,4
continual_learning,2026-01,8
continual_learning,2026-02,6
continual_learning,2026-03,4
continual_learning,2026-04,6
continual_learning,2026-05,0
memory_augmented_rl,2023-01,0
memory_augmented_rl,2023-02,0
memory_augmented_rl,2023-03,0
memory_augmented_rl,2023-04,0
memory_augmented_rl,2023-05,0
memory_augmented_rl,2023-06,0
memory_augmented_rl,2023-07,0
memory_augmented_rl,2023-08,0
memory_augmented_rl,2023-09,0
memory_augmented_rl,2023-10,0
memory_augmented_rl,2023-11,0
memory_augmented_rl,2023-12,0
memory_augmented_rl,2024-01,0
memory_augmented_rl,2024-02,0
memory_augmented_rl,2024-03,1
memory_augmented_rl,2024-04,0
memory_augmented_rl,2024-05,0
memory_augmented_rl,2024-06,0
memory_augmented_rl,2024-07,0
memory_augmented_rl,2024-08,0
memory_augmented_rl,2024-09,0
memory_augmented_rl,2024-10,0
memory_augmented_rl,2024-11,0
memory_augmented_rl,2024-12,0
memory_augmented_rl,2025-01,0
memory_augmented_rl,2025-02,0
memory_augmented_rl,2025-03,0
memory_augmented_rl,2025-04,0
memory_augmented_rl,2025-05,0
memory_augmented_rl,2025-06,0
memory_augmented_rl,2025-07,0
memory_augmented_rl,2025-08,0
memory_augmented_rl,2025-09,0
