system_name,package_manager,package_name,downloads_last_month,downloads_last_week,versions_published_total,last_publish_date,notes
"mem0ai/mem0",pypi,mem0ai,2813995,675372,171,2026-04-25,""
"crewAIInc/crewAI",pypi,crewai,7305228,1850454,293,2026-04-30,""
"run-llama/llama_index",pypi,llama-index,10371161,2430517,501,2026-04-21,""
"microsoft/autogen",pypi,autogen-agentchat,1405278,325519,54,2025-09-30,"also pyautogen (1243875/mo)"
"microsoft/autogen",pypi,pyautogen,1243875,218592,117,2025-07-15,"legacy package"
"chroma-core/chroma",pypi,chromadb,13650783,2989183,130,2026-05-05,""
"qdrant/qdrant",pypi,qdrant-client,22986680,6406861,123,2026-03-13,""
"weaviate/weaviate",pypi,weaviate-client,109040750,26349639,291,2026-04-23,""
"milvus-io/milvus",pypi,pymilvus,6593585,1313404,140,2026-04-09,""
"milvus-io/milvus",pypi,milvus-lite,1793421,384648,16,2025-06-30,"embedded variant"
"lancedb/lancedb",pypi,lancedb,6970138,1628202,101,2026-03-31,""
"lancedb/lancedb",npm,@lancedb/lancedb,4009113,591562,134,2026-04-29,""
"agno-agi/agno",pypi,agno,1790748,424542,204,2026-04-28,""
"HKUDS/LightRAG",pypi,lightrag-hku,193924,42895,80,2026-04-19,""
"microsoft/graphrag",pypi,graphrag,78926,15530,44,2026-04-13,""
"microsoft/semantic-kernel",pypi,semantic-kernel,2701100,620664,132,2026-04-28,""
"letta-ai/letta",pypi,letta,138101,52951,136,2026-03-31,""
"langchain-ai/langmem",pypi,langmem,647917,141301,52,2025-10-27,""
"huggingface/smolagents",pypi,smolagents,582984,119965,39,2026-01-16,""
"getzep/graphiti",pypi,graphiti-core,488265,109614,189,2026-04-27,"package is graphiti-core not graphiti"
"topoteretes/cognee",pypi,cognee,109500,30307,128,2026-05-06,""
"FoundationAgents/MetaGPT",pypi,metagpt,41515,8974,30,2025-03-09,""
"Josh-XT/AGiXT",pypi,agixt,3781,1436,359,2026-04-08,""
"memodb-io/memobase",pypi,memobase,4013,457,27,2025-11-08,""
"memdb-io/memobase",pypi,membase,57,14,2,2026-03-19,"separate package"
"kingjulio8238/Memary",pypi,memary,40,8,3,2024-05-27,""
"BAI-LAB/MemoryOS",pypi,memoryos,2460,501,26,2026-04-23,""
"pgvector/pgvector",pypi,pgvector,20667000,4965498,25,2025-12-05,""
"OSU-NLP-Group/HippoRAG",pypi,hipporag,4734,1046,3,2025-06-24,""
"lucidrains/RETRO-pytorch",pypi,retro-pytorch,831,651,68,2023-10-30,""
"danijar/dreamerv3",pypi,dreamerv3,211,72,6,2023-02-22,""
"bytedance/ShadowKV",pypi,shadowkv,8,5,null,null,"negligible downloads"
"doobidoo/mcp-memory-service",pypi,mcp-memory-service,28183,8730,255,2026-05-05,""
"modelcontextprotocol/servers",npm,@modelcontextprotocol/sdk,138884739,33359614,78,2026-03-30,"SDK package not the servers repo itself"
"supermemoryai/supermemory",npm,supermemory,129168,25102,40,2026-04-03,""
"weaviate/weaviate",npm,weaviate-client,1705121,324180,128,2026-04-28,""
"weaviate/weaviate",npm,weaviate-ts-client,133944,25443,24,2025-05-06,"legacy TS client"
"qdrant/qdrant",npm,@qdrant/js-client-rest,1912822,447960,30,2026-02-19,""
"chroma-core/chroma",npm,chromadb,782275,170867,99,2026-04-08,""
"run-llama/llama_index",npm,llamaindex,546257,89901,294,2025-12-31,"LlamaIndex TypeScript package"
"qdrant/qdrant",crates,qdrant-client,2334056,null,51,2026-02-20,"Rust crate (recent_downloads=713689)"
"lancedb/lancedb",crates,lancedb,339068,null,50,2026-03-31,"Rust crate (recent_downloads=168263)"
"getzep/graphiti",pypi,graphiti,2618,611,14,2018-11-22,"different unrelated package; graphiti-core is correct"
