source_id,name,repo_url,homepage_url,source_categories,source_url,phase1_priority
agentic-community,Agent Evaluation,https://github.com/awslabs/agent-evaluation,https://awslabs.github.io/agent-evaluation/,Agentic/Evaluations,https://github.com/agentic-community/agentic-landscape,5
agentic-community,Agent Gateway,https://github.com/agentgateway/agentgateway,https://agentgateway.dev/,Agentic/Agentic Gateways,https://github.com/agentic-community/agentic-landscape,5
agentic-community,Agent2Agent Protocol,https://github.com/a2aproject/A2A,https://a2a-protocol.org/,Agentic/Agent Protocols,https://github.com/agentic-community/agentic-landscape,5
agentic-community,CAMEL,https://github.com/camel-ai/camel,https://www.camel-ai.org/,Agentic/Frameworks,https://github.com/agentic-community/agentic-landscape,5
agentic-community,Cedar,https://github.com/cedar-policy/cedar,https://www.cedarpolicy.com/en,Agentic/IAM,https://github.com/agentic-community/agentic-landscape,5
agentic-community,Comet Optik,https://github.com/comet-ml/opik,https://www.comet.com/docs/opik/,Agentic/Observability,https://github.com/agentic-community/agentic-landscape,5
agentic-community,Crawl4AI,https://github.com/unclecode/crawl4ai,https://docs.crawl4ai.com/,Agentic/Search & Web Access,https://github.com/agentic-community/agentic-landscape,5
agentic-community,DeepEval,https://github.com/confident-ai/deepeval,https://deepeval.com/,Agentic/Evaluations,https://github.com/agentic-community/agentic-landscape,5
agentic-community,Dify,https://github.com/langgenius/dify,https://dify.ai/,Agentic/Workflow Orchestration,https://github.com/agentic-community/agentic-landscape,5
agentic-community,Docling,https://github.com/docling-project/docling,https://www.docling.ai/,Agentic/RAG,https://github.com/agentic-community/agentic-landscape,2
agentic-community,Envoy,https://github.com/envoyproxy/ai-gateway,https://aigateway.envoyproxy.io/,Agentic/LLM Gateway,https://github.com/agentic-community/agentic-landscape,5
agentic-community,FAISS,https://github.com/facebookresearch/faiss,https://github.com/facebookresearch/faiss,Infrastructure/Vector DBs,https://github.com/agentic-community/agentic-landscape,2
agentic-community,Firecrawl,https://github.com/firecrawl/firecrawl,https://www.firecrawl.dev/,Agentic/Search & Web Access,https://github.com/agentic-community/agentic-landscape,5
agentic-community,Guardrails AI,https://github.com/guardrails-ai/guardrails,https://guardrailsai.com/,Agentic/Guardrails,https://github.com/agentic-community/agentic-landscape,5
agentic-community,Guidance,https://github.com/guidance-ai/guidance,https://github.com/guidance-ai/guidance,Agentic/Structured Output,https://github.com/agentic-community/agentic-landscape,5
agentic-community,HAL: The Holistic Agent Leaderboard,https://github.com/princeton-pli/hal-harness,https://github.com/princeton-pli/hal-harness,Agentic/Evaluations,https://github.com/agentic-community/agentic-landscape,5
agentic-community,Hatchet,https://github.com/hatchet-dev/hatchet,https://hatchet.run/,Agentic/Workflow Orchestration,https://github.com/agentic-community/agentic-landscape,5
agentic-community,Instructor,https://github.com/567-labs/instructor,https://python.useinstructor.com/,Agentic/Structured Output,https://github.com/agentic-community/agentic-landscape,5
agentic-community,Jina Reader,https://github.com/jina-ai/reader,https://jina.ai/reader/,Agentic/Search & Web Access,https://github.com/agentic-community/agentic-landscape,5
agentic-community,Jupyter Enterprise Gateway,https://github.com/jupyter-server/enterprise_gateway,https://jupyter-enterprise-gateway.readthedocs.io/,Agentic/Code Sandbox,https://github.com/agentic-community/agentic-landscape,5
agentic-community,Keycloak,https://github.com/keycloak/keycloak,https://www.keycloak.org/,Agentic/IAM,https://github.com/agentic-community/agentic-landscape,5
agentic-community,Kong,https://github.com/Kong/kong,https://developer.konghq.com/gateway/install/,Agentic/LLM Gateway,https://github.com/agentic-community/agentic-landscape,5
agentic-community,Kubernetes,https://github.com/kubernetes/kubernetes,https://agentic-community.com,Agentic/Runtime,https://github.com/agentic-community/agentic-landscape,5
agentic-community,LLM Guard,https://github.com/protectai/llm-guard,https://protectai.github.io/llm-guard/,Agentic/Guardrails,https://github.com/agentic-community/agentic-landscape,5
agentic-community,LMQL,https://github.com/eth-sri/lmql,https://lmql.ai/,Agentic/Structured Output,https://github.com/agentic-community/agentic-landscape,5
agentic-community,LangChain,https://github.com/langchain-ai/langchain,https://docs.langchain.com/oss/python/langchain/,Agentic/Frameworks,https://github.com/agentic-community/agentic-landscape,5
